CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
68	119182	30323	-0.8483
68	6445540	148124	-0.9188
68	237	20279	-0.8935
68	119182	216326	-0.9339
68	2578	20279	-0.9763
68	20279	2662	-1.0168
68	2141	20279	-0.9691
68	119182	5353562	-0.9411
68	4114	20279	-0.9325
68	119182	42611257	-0.9993
68	5360373	4212	-0.9815
68	3385	30323	-0.9905
68	446556	216326	-0.9104
68	5790	132971	-1.0022
68	2907	4212	-1.0972
68	446556	10113978	-0.9672
68	387447	446556	-0.9386
68	5790	5353562	-1.0449
68	6442177	6450551	-0.95
68	5284616	3081361	-1.0379
68	451668	132971	-0.9727
68	451668	2094	-1.0007
68	119182	446556	-0.6669
68	119182	60198	-0.7982
68	6445540	451668	-0.8869
68	6445540	5284616	-0.8936
68	119182	44424639	-0.7638
68	5352062	20279	-0.8164
68	2141	9854073	-0.9108
68	104842	20279	-0.8075
68	6445540	9444	-0.8964
68	119182	71384	-0.8672
68	20279	5453	-0.9258
68	44424639	446556	-0.8707
68	5790	60198	-0.9218
68	65628	20279	-0.9473
68	119182	132971	-0.9421
68	29327	20279	-0.9611
68	2094	20279	-0.9619
68	119182	6450551	-0.9829
68	119182	10113978	-0.9617
68	4915	20279	-0.9796
68	5284616	4212	-0.9351
68	57469	20279	-1.0184
68	119182	2123	-0.9883
68	119182	5035	-0.9909
68	452548	446556	-0.8746
68	9444	6253	-0.8519
68	5790	2723601	-0.9048
68	216239	20279	-0.9471
68	119182	3081361	-1.0066
68	5746	446556	-0.8997
68	104842	123631	-0.9655
68	119182	25126798	-1.0041
68	4212	31703	-1.0227
68	5790	71384	-0.973
68	5978	4212	-1.0514
68	176870	4212	-1.0467
68	4212	3081361	-1.1313
68	208908	446556	-0.8651
68	119182	454216	-1.1747
68	4212	24776445	-1.0949
68	5790	3081361	-0.9899
68	4212	11626560	-1.144
68	4212	10113978	-1.1301
68	11626560	446556	-0.8584
68	4212	25126798	-1.114
68	5329102	446556	-0.9244
68	4212	42611257	-1.1537
68	5790	11626560	-1.008
68	5394	446556	-0.9547
68	4114	446556	-1.1405
68	5790	6450551	-1.0104
68	4114	5360373	-1.0247
68	451668	5311	-0.9339
68	6442177	216326	-0.9592
68	6442177	5353562	-0.9875
68	6442177	25126798	-0.98
68	667490	457193	-1.0333
68	9444	5453	-0.8558
68	5284616	11626560	-0.9879
68	5284616	11683	-0.9677
68	451668	4033	-0.9043
68	6857599	4915	-0.9954
68	5284616	5035	-1.0401
68	451668	31703	-0.988
68	451668	4915	-0.9958
68	6857599	4114	-1.0169
68	259331	71384	-0.9851
68	2187	24776445	-1.0168
68	2141	2094	-0.9754
68	68740	5353562	-1.0078
68	57469	2094	-0.9882
68	2578	644241	-1.015
68	57469	3011155	-1.0133
68	119182	9854073	-0.6594
68	60700	9854073	-0.8125
68	261004	6445540	-0.8186
68	6445540	60750	-0.8099
68	6445540	6253	-0.7106
68	126941	454216	-0.6874
68	6442177	9854073	-0.8167
68	387447	20279	-0.8243
68	5360373	20279	-0.7513
68	6445540	5352062	-0.9019
68	119182	4212	-0.7445
68	451668	126941	-0.628
68	123631	9854073	-1.0124
68	36314	20279	-0.725
68	126941	5311	-0.5776
68	71384	9854073	-0.9574
68	6445540	237	-0.9753
68	6857599	9854073	-0.9328
68	9444	20279	-0.7926
68	261004	20279	-0.8158
68	4842	9854073	-0.9481
68	24776445	9854073	-1.0241
68	5746	9854073	-0.9245
68	119182	2708	-0.8187
68	5799	20279	-0.8078
68	119182	6194	-0.8501
68	5746	20279	-0.9039
68	13342	9854073	-0.9994
68	119182	452548	-0.8188
68	119182	2723601	-0.7608
68	6253	4212	-0.8592
68	2767	20279	-0.8906
68	387447	9854073	-0.9877
68	119182	123631	-0.9001
68	126941	65628	-1.0061
68	6445540	5790	-0.8764
68	6445540	3657	-0.9674
68	5311	20279	-0.8559
68	119182	36462	-0.8228
68	6445540	3690	-1.0132
68	163659	36314	-0.8135
68	4842	20279	-0.8993
68	6442177	4212	-0.8917
68	451668	20279	-0.8949
68	387447	454216	-0.8912
68	6445540	2662	-1.0081
68	60750	9854073	-0.9489
68	6445540	104741	-1.0536
68	439693	9854073	-0.9361
