CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
31	176870	5288382	-1.0444
31	59691338	5311	-1.5759
31	59691338	176870	-1.2341
31	59691338	5288382	-1.1734
31	5311	176870	-0.659
31	216453	5311	-1.1151
31	176870	11960529	-0.6935
31	24856436	176870	-1.1857
31	24964624	5288382	-1.0507
31	5394	176870	-1.2009
31	5394	24964624	-1.1358
31	208908	176870	-1.2276
31	208908	16224745	-1.2045
31	208908	24964624	-1.18
31	59691338	5394	-1.0846
31	59691338	24964624	-1.1345
31	59691338	208908	-1.1243
31	2907	208908	-1.0024
31	2907	5311	-1.5291
31	216453	24856436	-1.1308
31	5329102	16224745	-1.1101
31	15953832	5746	-1.5928
31	2907	176870	-1.1856
31	13342	11960529	0.0545
31	60700	16224745	0.0262
31	31703	16224745	0.0235
31	36462	5394	0.002
31	36462	5329102	-0.0143
31	31703	216453	0.003
31	36314	208908	-0.0559
31	31703	5329102	0
31	36314	24964624	-0.1071
31	31703	176870	-0.007
31	31703	5394	-0.0063
31	31703	216239	-0.0152
31	31703	5288382	-0.0035
31	31703	5311	-0.0172
31	31703	11960529	-0.0123
31	31703	24964624	-0.0127
31	31703	24958200	-0.005
31	31703	24748204	-0.0107
31	31703	3062316	-0.0249
31	13342	5394	-0.0152
31	31703	208908	-0.0123
31	31703	24856436	-0.0215
31	44424639	208908	-0.0751
31	36462	11960529	-0.0069
31	126941	11960529	0.0435
31	36462	24958200	-0.0607
31	60700	216239	-0.0691
31	36462	16224745	-0.0305
31	387447	5288382	-0.0411
31	44424639	24964624	-0.0714
31	36462	216239	-0.0908
31	36462	5311	-0.1262
31	36314	16224745	-0.06
31	36462	208908	-0.1197
31	31703	6421776	-0.1373
31	36462	176870	-0.1268
31	13342	5288382	-0.024
31	36314	5329102	-0.1971
31	44424639	24856436	-0.153
31	36462	24748204	-0.1686
31	36462	24964624	-0.176
31	387447	11960529	0.0199
31	44424639	16224745	-0.0795
31	126941	5311	-0.2294
31	36314	5288382	-0.0525
31	6857599	216239	-0.2033
31	60750	176870	-0.2041
31	44424639	5288382	-0.0796
31	126941	24964624	-0.1407
31	36314	24958200	-0.1913
31	60750	11960529	-0.101
31	126941	16224745	-0.0261
31	36314	176870	-0.119
31	36462	5288382	-0.2252
31	13342	216453	-0.2723
31	126941	24748204	-0.2412
31	60750	5329102	-0.2369
31	13342	16224745	-0.059
31	126941	24958200	-0.1348
31	44424639	11960529	-0.0464
31	60750	24748204	-0.228
31	44424639	5329102	-0.2112
31	60750	5288382	-0.1317
31	36314	24856436	-0.1481
31	36314	5311	-0.2551
31	5746	216239	-0.163
31	5746	5394	-0.2098
31	5311	5394	-0.1389
31	60750	3062316	-0.3022
31	126941	216453	-0.1291
31	38904	5394	-0.1926
31	44424639	5394	-0.0499
31	36314	216453	-0.2466
31	60750	216239	-0.2736
31	60750	24964624	-0.184
31	13342	5329102	-0.2206
31	36462	24856436	-0.2816
31	36314	5394	-0.0892
31	60750	5394	-0.1674
31	126941	216239	-0.3152
31	36314	216239	-0.2944
31	36314	11960529	-0.0755
31	60750	24958200	-0.2261
31	36314	3062316	-0.2936
31	387447	3062316	-0.2978
31	44424639	24958200	-0.1896
31	13342	24856436	-0.1646
31	44424639	176870	-0.1439
31	13342	24964624	-0.068
31	36462	3062316	-0.3236
31	36314	24748204	-0.3182
31	60750	6421776	-0.2997
31	387447	16224745	-0.0476
31	44424639	24748204	-0.2655
31	60750	208908	-0.1403
31	31703	9826528	-0.3565
31	60700	6421776	-0.3493
31	5311	216239	-0.3461
31	387447	6857599	-0.2621
31	13342	176870	-0.1814
31	13342	24958200	-0.2165
31	126941	208908	-0.0421
31	36314	6421776	-0.1895
31	387447	6421776	-0.2431
31	126941	5329102	-0.1492
31	46926350	16224745	-0.1115
31	387447	60700	-0.4052
31	60750	16224745	-0.2767
31	44424639	6421776	-0.2467
31	44424639	5311	-0.2576
31	24748204	216239	-0.3656
31	44424639	3062316	-0.3335
31	44424639	216239	-0.3303
31	13342	24748204	-0.3046
