CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
32	13342	24964624	-0.2328
32	13342	5311	-0.3141
32	36462	5311	-0.8794
32	15953832	16224745	-1.3324
32	38904	208908	-1.0863
32	24964624	11960529	-0.7897
32	5311	24856436	-1.1018
32	5311	46926350	-1.2836
32	15953832	36462	-1.2911
32	15953832	5311	-1.2546
32	15953832	176870	-1.0309
32	208908	16224745	-1.2944
32	15953832	208908	-1.1541
32	208908	24964624	-1.1295
32	15953832	24964624	-1.2065
32	59691338	176870	-0.9551
32	38904	16224745	-1.4033
32	5394	176870	-1.0195
32	11520894	216239	-1.0896
32	216239	16224745	-1.1966
32	126941	5311	0.0525
32	126941	24748204	0.0601
32	126941	3062316	0.0119
32	126941	216453	0.0167
32	126941	208908	-0.0117
32	126941	24964624	-0.0148
32	126941	5394	0.0644
32	126941	11960529	0.0434
32	126941	5288382	-0.0547
32	126941	24958200	0.0085
32	126941	176870	-0.0597
32	126941	16224745	-0.0459
32	126941	5329102	0.0039
32	31703	216453	-0.0332
32	31703	24748204	-0.0533
32	31703	5329102	-0.0706
32	126941	24856436	-0.0437
32	31703	216239	-0.0983
32	126941	216239	-0.0665
32	31703	16224745	-0.0908
32	60750	208908	-0.0456
32	60750	216239	-0.1584
32	60750	5288382	-0.1675
32	44424639	5394	-0.0975
32	60750	5394	-0.0509
32	31703	11960529	-0.007
32	31703	176870	-0.1172
32	60750	24856436	-0.1572
32	60750	24748204	-0.0907
32	31703	5311	-0.0863
32	60750	11960529	-0.013
32	31703	24958200	-0.0692
32	60750	24958200	-0.0694
32	60750	24964624	-0.1396
32	60750	6421776	-0.2219
32	31703	5394	0.01
32	31703	208908	-0.1169
32	60750	3062316	-0.1372
32	31703	24964624	-0.1725
32	387447	3062316	-0.116
32	126941	6421776	-0.2413
32	44424639	24958200	-0.1584
32	31703	3062316	-0.2212
32	44424639	208908	-0.1603
32	60750	176870	-0.0541
32	31703	24856436	-0.2265
32	13342	208908	-0.1537
32	60750	5329102	-0.1568
32	387447	216239	-0.2946
32	31703	5288382	-0.2679
32	60750	16224745	-0.2163
32	36314	176870	-0.2352
32	60700	216239	-0.2918
32	44424639	3062316	-0.1861
32	44424639	5288382	-0.3178
32	13342	5394	-0.0214
32	44424639	5311	-0.2065
32	44424639	216239	-0.334
32	44424639	24856436	-0.2368
32	44424639	24748204	-0.0738
32	387447	6857599	-0.1547
32	5288382	6857599	-0.1901
32	387447	5288382	-0.3294
32	387447	11960529	-0.0661
32	387447	60700	-0.3065
32	60750	9826528	-0.3913
32	36314	208908	-0.2827
32	44424639	176870	-0.2011
32	44424639	16224745	-0.3367
32	387447	16224745	-0.2539
32	126941	9826528	-0.457
32	44424639	24964624	-0.1943
32	36314	24748204	-0.3952
32	60750	46926350	-0.4283
32	36314	5394	-0.2488
32	5288382	216239	-0.3157
32	44424639	6421776	-0.3592
32	44424639	5329102	-0.2668
32	13342	3062316	-0.2062
32	46926350	16224745	-0.329
32	36314	216453	-0.3527
32	13342	176870	-0.2704
32	44424639	11960529	-0.1497
32	36314	3062316	-0.3222
32	13342	5329102	-0.4006
32	31703	6421776	-0.4812
32	13342	11960529	-0.0952
32	36314	11960529	-0.2732
32	60750	387447	-0.5706
32	5746	11960529	-0.275
32	36314	24856436	-0.3671
32	36314	5329102	-0.3986
32	104842	16224745	-0.2949
32	5746	216239	-0.3012
32	5746	5394	-0.1964
32	60700	16224745	-0.4546
32	13342	24748204	-0.2685
32	387447	6421776	-0.5133
32	13342	16224745	-0.4343
32	36314	24958200	-0.2949
32	36314	5288382	-0.5047
32	36314	5311	-0.4105
32	126941	46926350	-0.6908
32	104842	216239	-0.4384
32	126941	387447	-0.6908
32	36314	6421776	-0.4771
32	13342	24856436	-0.3356
32	13342	5288382	-0.5031
32	5329102	5394	-0.2072
32	36314	24964624	-0.3605
32	13342	216453	-0.4056
32	36314	216239	-0.48
32	36314	16224745	-0.4464
32	5311	5394	-0.1995
32	13342	216239	-0.5701
32	13342	24958200	-0.2911
32	5746	5329102	-0.4
32	6421776	6857599	-0.4111
32	5329102	216239	-0.5441
32	6421776	216239	-0.5788
32	44424639	9826528	-0.4222
32	31703	9826528	-0.677
32	44424639	46926350	-0.6365
32	36314	9826528	-0.5357
32	5746	216453	-0.2122
32	5746	24958200	-0.424
32	60750	11520894	-0.7479
32	6421776	16224745	-0.6804
32	126941	11520894	-0.8256
32	5746	5311	-0.4739
32	9826528	11960529	-0.3896
32	36462	5394	-0.33
32	5746	16224745	-0.5907
32	5311	216239	-0.6342
32	9826528	6857599	-0.4218
32	24856436	6857599	-0.4593
32	44424639	387447	-0.7119
32	36462	216239	-0.6243
32	31703	46926350	-0.8509
32	5288382	16224745	-0.7306
32	5746	208908	-0.4998
