CELL_ID	PUB_IDA	PUB_IDB	SCORE_BLISS
73	5790	10113978	-0.8751
73	6445540	9444	-0.9245
73	6445540	237	-0.8507
73	6445540	148121	-0.9098
73	6445540	2094	-0.961
73	6445540	657237	-0.9876
73	5790	71384	-0.8897
73	6445540	65628	-0.986
73	6445540	119182	-0.9953
73	5790	11626560	-0.9643
73	5790	2123	-0.9304
73	2662	3385	-0.8241
73	60953	3385	-0.8633
73	4114	9854073	-1.2323
73	2723601	11626560	-1.0104
73	5746	2094	-1.2331
73	4114	4212	-1.1793
73	439693	3081361	-0.991
73	6445540	126941	-0.7476
73	2767	6445540	-0.8689
73	6445540	36314	-0.831
73	5790	60198	-0.7692
73	6445540	104842	-0.7961
73	5790	44424639	-0.7747
73	6445540	667490	-0.7976
73	6445540	457193	-0.9044
73	5799	454216	-0.8991
73	5790	36462	-0.7954
73	6445540	5453	-0.926
73	5790	6194	-0.7524
73	5790	6450551	-0.8922
73	6445540	6442177	-0.9151
73	6445540	644241	-0.9842
73	5790	460612	-0.8519
73	6445540	3902	-0.9764
73	6445540	5394	-0.978
73	6445540	31703	-0.9189
73	6445540	3011155	-0.9944
73	5746	5352062	-1.0478
73	5790	11683	-0.8765
73	6857599	5352062	-0.9827
73	3385	10113978	-0.8008
73	5790	216326	-0.9002
73	9854073	6450551	-0.9724
73	60700	36314	-1.1371
73	667490	36314	-1.0024
73	5311	5352062	-1.0199
73	5790	5035	-0.9579
73	137	9854073	-1.0263
73	259331	3385	-0.814
73	6857599	9854073	-1.0717
73	6253	4212	-0.989
73	2187	3385	-0.8214
73	9854073	3081361	-1.053
73	451668	9854073	-1.0811
73	3657	9854073	-1.1159
73	3902	9854073	-1.0877
73	104741	9854073	-1.1465
73	3690	3385	-0.8829
73	3011155	9854073	-1.0854
73	2723601	2708	-0.9108
73	2723601	452548	-0.9313
73	57469	9854073	-1.1132
73	6857599	163659	-1.1756
73	3902	3385	-0.8241
73	4212	6450551	-1.0268
73	454216	9854073	-1.1125
73	5746	6442177	-1.1089
73	4212	10113978	-1.0211
73	4211	4212	-1.0637
73	57469	5746	-0.9865
73	4212	11626560	-1.0966
73	2723601	3081361	-1.0069
73	454216	2723601	-0.9829
73	2723601	132971	-0.9759
73	2723601	5353562	-1.0187
73	2723601	123631	-1.074
73	57469	2723601	-1.0016
73	2723601	11683	-1.0665
73	2723601	216326	-1.0362
73	5284616	6450551	-0.937
73	9444	104741	-0.8374
73	5426	5790	-1.0874
73	57469	36314	-1.2869
73	71384	10113978	-1.0058
73	6857599	31703	-0.9698
73	71384	6450551	-0.9684
73	216326	6450551	-0.9967
73	5353562	6450551	-0.9627
73	3081361	10113978	-1.0294
73	10113978	3081361	-1.0825
73	29327	10113978	-0.9249
73	6450551	25126798	-1.0417
73	11683	6450551	-0.9949
73	3062316	3081361	-1.0162
73	132971	25126798	-1.0301
73	2662	3081361	-1.0011
73	208908	5394	-1.0171
73	65628	3902	-0.9894
73	57469	25126798	-1.0098
73	4915	2094	-1.0548
73	4114	5291	-1.1272
73	261004	6445540	-0.6716
73	5790	3385	-0.5671
73	6445540	5352062	-0.7348
73	5790	446556	-0.6806
73	6445540	163659	-0.8638
73	5352062	4212	-0.7726
73	13342	3385	-0.6817
73	5799	5352062	-0.8031
73	5790	4212	-0.7773
73	6445540	57469	-0.9812
73	5790	452548	-0.8065
73	104842	9854073	-0.9334
73	5352062	2708	-0.8379
73	148124	446556	-0.7908
73	6445540	148124	-0.9938
73	261004	60750	-0.8336
73	6445540	2187	-1.0116
73	5352062	6194	-0.8699
73	6445540	3657	-0.9917
73	104842	5352062	-0.9363
73	6445540	4211	-1.001
73	6445540	5284616	-0.9355
73	36462	446556	-0.8991
73	6445540	216239	-1.0514
73	6445540	60953	-1.0036
73	6445540	208908	-1.0002
73	176870	6445540	-1.0362
73	104842	44424639	-0.8823
73	5284616	3385	-0.761
73	4842	454216	-0.9431
73	667490	4212	-0.7653
73	259331	6445540	-1.1072
73	3950	9854073	-0.837
73	4033	454216	-0.79
73	460612	9854073	-0.8527
73	460612	5799	-0.9301
73	6445540	2733526	-1.1098
73	5284616	9854073	-1.0144
73	36314	452548	-0.8773
73	237	9854073	-0.9834
73	261004	148124	-0.8762
73	5790	123631	-0.8889
73	36314	4212	-0.8598
73	148124	6194	-0.8495
